STATION CODE,LOCATIONS,STATE,LATITUDE,LONGITUDE,YEAR,mean_temp,Qi_temp,WiQi_temp,mean_ph,Qi_ph,WiQi_ph,mean_conductivity,Qi_conductivity,WiQi_conductivity,mean_bod,Qi_bod,WiQi_bod,mean_nitratenitrite,Qi_nitratenitrite,WiQi_nitratenitrite,mean_fecalcoliform,Qi_fecalcoliform,WiQi_fecalcoliform,WQI
1517,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,15.943006,77.421229,2014,28.5,114,11.4,7.9,60,6.6,1687,674.8,2.6992,0.9,15,1.65,4.6,2.3,0.23,0,0,0,22.5792
1518,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,15.478569,78.483093,2014,29.6,118.4,11.84,7.9,60,6.6,3720,1488,5.952,1.4,23.33333333,2.566666667,8.4,4.2,0.42,0,0,0,27.37866667
1519,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,13.320052,79.585628,2014,29.2,116.8,11.68,7.9,60,6.6,1131,452.4,1.8096,1.4,23.33333333,2.566666667,1.7,0.85,0.085,0,0,0,22.74126667
1520,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",ANDHRA PRADESH,13.750713,79.696128,2014,31.1,124.4,12.44,7.9,60,6.6,966,386.4,1.5456,1.3,21.66666667,2.383333333,4.6,2.3,0.23,0,0,0,23.19893333
1521,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,17.682013,83.187478,2014,25,100,10,7.7,46.66666667,5.133333333,1790,716,2.864,1,16.66666667,1.833333333,5.4,2.7,0.27,9,45,7.2,27.30066667
1522,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",ANDHRA PRADESH,18.106658,83.395551,2014,26,104,10.4,7.4,26.66666667,2.933333333,962,384.8,1.5392,1.1,18.33333333,2.016666667,1.4,0.7,0.07,16,80,12.8,29.7592
1523,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",ANDHRA PRADESH,16.801337,81.235345,2014,27,108,10.8,7.9,60,6.6,347,138.8,0.5552,1,16.66666667,1.833333333,0.2,0.1,0.01,3,15,2.4,22.19853333
1524,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",ANDHRA PRADESH,16.971834,82.223767,2014,26,104,10.4,7.4,26.66666667,2.933333333,1904,761.6,3.0464,1.2,20,2.2,1.5,0.75,0.075,4,20,3.2,21.85473333
1795,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST., A.P",ANDHRA PRADESH,17.524157,78.323286,2014,32,128,12.8,7.7,46.66666667,5.133333333,3180,1272,5.088,6.8,113.3333333,12.46666667,8,4,0.4,10,50,8,43.888
1810,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",ANDHRA PRADESH,18.665148,77.90389,2014,28,112,11.2,7.5,33.33333333,3.666666667,1462,584.8,2.3392,1,16.66666667,1.833333333,5,2.5,0.25,10,50,8,27.2892
1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,17.412831,78.786713,2014,29,116,11.6,6.9,-6.666666667,-0.733333333,4010,1604,6.416,1.8,30,3.3,2,1,0.1,10,50,8,28.68266667
3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,17.646325,83.069694,2014,25,100,10,7.7,46.66666667,5.133333333,2951,1180.4,4.7216,1.2,20,2.2,4.7,2.35,0.235,4,20,3.2,25.48993333
3090,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM , A.P.",ANDHRA PRADESH,17.694568,83.231293,2014,26,104,10.4,7.2,13.33333333,1.466666667,2311,924.4,3.6976,1,16.66666667,1.833333333,8.6,4.3,0.43,120,600,96,113.8276
3091,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,17.835345,83.384281,2014,25,100,10,7.8,53.33333333,5.866666667,2608,1043.2,4.1728,1,16.66666667,1.833333333,8.8,4.4,0.44,4,20,3.2,25.5128
3092,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM, A.P.",ANDHRA PRADESH,18.4285,84.016742,2014,25,100,10,7.6,40,4.4,911,364.4,1.4576,1,16.66666667,1.833333333,3.5,1.75,0.175,9,45,7.2,25.06593333
